"transactTime","symbol","execType","side","lastQty","lastPx","execCost","commission","execComm","ordType","orderQty","leavesQty","price","text","orderID"
"2018/9/19 下午3:18:21","XBTU18","Trade","Sell","1","6361","15721","0.000675","10","Limit","1","0","6361","Spam
Submitted via API.","acc0ca01-6c4c-98d9-ab9e-5ac06d6ca8ff"
"2018/9/19 下午3:17:21","XBTU18","Trade","Buy","1","6348","-15753","0.000675","10","Limit","1","0","6348","Spam
Submitted via API.","398262ec-c04a-a42a-c4ff-9c42c7990a2a"
"2018/9/19 下午3:07:37","XBTU18","Trade","Buy","1","6361","-15721","0.000675","10","Limit","1","0","6361","Spam
Submitted via API.","d539ca36-5b70-5643-520e-2e1d7c04dafd"
"2018/9/19 下午2:57:34","XBTU18","Trade","Buy","1","6373","-15691","0.000675","10","Limit","1","0","6373","Spam
Submitted via API.","7aa4e3bf-9c00-6c9d-ed05-8abd3ba867b6"
"2018/9/19 下午2:54:54","XBTU18","Trade","Sell","1","6386","15659","0.000675","10","Limit","1","0","6386","Spam
Submitted via API.","8e9e4f41-a696-214d-6ca3-605720c3e201"
"2018/9/19 下午1:45:58","XBTU18","Trade","Sell","1","6373","15691","0.000675","10","Limit","1","0","6373","Spam
Submitted via API.","7392ec03-5365-058a-2984-436ea49e5637"
"2018/9/19 下午1:45:50","XBTU18","Trade","Sell","1","6360","15723","0.000675","10","Limit","1","0","6360","Spam
Submitted via API.","cf9d2339-6514-803c-e828-bbf01a3ed30e"
"2018/9/19 下午1:45:50","XBTU18","Trade","Sell","1","6348","15753","0.000675","10","Limit","1","0","6348","Spam
Submitted via API.","62b8ee86-ada7-9b68-b4e6-b0634d7e321e"
"2018/9/19 下午1:45:08","XBTU18","Trade","Buy","1","6335","-15785","0.000675","10","Limit","1","0","6335","Spam
Submitted via API.","4cf7d8b6-a11e-d3d0-3cdc-afbd294393b2"
"2018/9/19 下午1:45:08","XBTU18","Trade","Buy","1","6348","-15753","0.000675","10","Limit","1","0","6348","Spam
Submitted via API.","4d7bbb74-dad4-df92-fd41-50ef8607a97a"
"2018/9/19 下午1:45:08","XBTU18","Trade","Buy","1","6360","-15723","0.000675","10","Limit","1","0","6360","Spam
Submitted via API.","3513830e-3791-7f0d-7670-4701c290bc7d"
"2018/9/19 下午1:30:31","XBTU18","Trade","Sell","1","6374","15689","0.000675","10","Limit","1","0","6374","Spam
Submitted via API.","7ba73a7a-bd17-3c33-1047-8f08859b8e0f"
"2018/9/19 下午12:35:30","XBTU18","Trade","Buy","1","6360","-15723","0.000675","10","Limit","1","0","6360","Spam
Submitted via API.","a6339171-e998-df62-ff8c-873daff32564"
"2018/9/19 下午12:30:31","XBTU18","Trade","Sell","1","6374","15689","0.000675","10","Limit","1","0","6374","Spam
Submitted via API.","ff62b678-d1d6-fb41-8062-0b840003bb7d"
"2018/9/19 下午12:25:31","XBTU18","Trade","Buy","1","6361","-15721","0.000675","10","Limit","1","0","6361","Spam
Submitted via API.","56b65b16-12bb-53af-b493-a7a5a1936544"
"2018/9/19 下午12:06:01","XBTU18","Trade","Buy","1","6373","-15691","0.000675","10","Limit","1","0","6373","Spam
Submitted via API.","3f41eedf-0bd3-1135-5b07-4bd26768b28e"
"2018/9/19 下午12:01:39","XBTU18","Trade","Sell","1","6386","15659","0.000675","10","Limit","1","0","6386","Spam
Submitted via API.","7a705a23-cf8b-d251-9469-13c3a69cf2e0"
"2018/9/19 上午11:59:50","XBTU18","Trade","Sell","1","6374","15689","0.000675","10","Limit","1","0","6374","Spam
Submitted via API.","87df3a29-19e5-e1c7-34ab-8aa22cf75abb"
"2018/9/19 上午11:36:42","XBTU18","Trade","Buy","1","6361","-15721","0.000675","10","Limit","1","0","6361","Spam
Submitted via API.","c8ca54ad-a93a-3e8a-82c2-34f5bc644f20"
"2018/9/19 上午11:15:14","XBTU18","Trade","Buy","1","6373","-15691","0.000675","10","Limit","1","0","6373","Spam
Submitted via API.","4de5becc-b1e2-072a-4a7c-5ea0635143be"
"2018/9/19 上午11:09:46","XBTU18","Trade","Sell","1","6386","15659","0.000675","10","Limit","1","0","6386","Spam
Submitted via API.","fdf9f8f1-6775-b8de-d91e-f6610f1a890b"
"2018/9/19 上午10:40:31","XBTU18","Trade","Sell","1","6374","15689","0.000675","10","Limit","1","0","6374","Spam
Submitted via API.","bbb49220-30b9-bdb6-a330-e455cdf799e1"
"2018/9/19 上午10:25:02","XBTU18","Trade","Sell","6","6355.5","94404","0.000675","63","Market","6","0","6355.5","Position Close from testnet.bitmex.com","b746fa82-0e67-64ac-cc1b-e63e0e94958d"
"2018/9/19 上午10:24:58","XBTZ18","Trade","Buy","1","6681","-14968","0.000675","10","Market","1","0","6681","Position Close from testnet.bitmex.com","8e54fe79-c874-876f-b945-30f3e37f99fd"
"2018/9/19 上午10:23:26","XBTZ18","Trade","Sell","1","6678","14975","0.000675","10","Limit","1","0","6678","Spam
Submission from testnet.bitmex.com","d56be430-9536-4e9c-2eea-92175dd10e23"
